"","rank","id","user_id","user_login","user_name","game_id","game_name","type","title","viewer_count","started_at","language","thumbnail_url","tag_ids","is_mature"
"1","1","47282469309","44390855","enviosity","Enviosity","513181","Genshin Impact","live","!DROPS | NEW EVENT + MONDAY RESET | Day 743","5000","2022-10-10T13:42:54Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_enviosity-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"")","FALSE"
"2","2","46161660268","26973975","wardiii","Wardiii","513181","Genshin Impact","live","#sponsored Genshin Impact Bounty! | !HeroWars | !NORD !HelloFresh | !NORD !HelloFresh","2377","2022-10-10T11:45:53Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_wardiii-{width}x{height}.jpg","list(""36a89a80-4fcd-4b74-b3d2-2c6fd9b30c95"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"3","3","40329377529","47081094","murderofbirds","MurderofBirds","513181","Genshin Impact","live","SUMERU ARCHON QUEST ACT 3","684","2022-10-10T15:40:50Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_murderofbirds-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"")","FALSE"
"4","4","46161631804","446510977","jasperine","jasperine","513181","Genshin Impact","live","✨DROPS✨ archon quest! farming! ♡ ˖ ˙꒱LURKER FRIENDLY! !kofi !javy !","587","2022-10-10T11:30:48Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_jasperine-{width}x{height}.jpg","list(""c2542d6d-cd10-4532-919b-3d19f30a768b"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"5","5","41373950827","45223790","cherimu","Cherimu","513181","Genshin Impact","live","!Drops🔥GENSHIN🔥WEEKLIES LETS GOOO✨Come cozy & chill✨(⁎ᵕᴗᵕ⁎ )~","133","2022-10-10T13:00:31Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_cherimu-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"")","FALSE"
"6","6","39754517959","180553983","tigerish7","tigerish7","513181","Genshin Impact","live","genshin upkeep then ? - EN/JP vtuber !asmr !yt","121","2022-10-10T09:44:46Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_tigerish7-{width}x{height}.jpg","list(""c2542d6d-cd10-4532-919b-3d19f30a768b"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"7","7","39755326695","214780179","timothyrandy","timothyrandy","513181","Genshin Impact","live","#WorldMentalHealthDay","93","2022-10-10T13:47:05Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_timothyrandy-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"")","TRUE"
"8","8","46161824012","54015392","milkimpact","MilkImpact","513181","Genshin Impact","live","[DROPS] Nuzzlocke - Event - Reviews - AR 60x2","93","2022-10-10T13:01:14Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_milkimpact-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"")","FALSE"
"9","9","46161833212","261873714","dreaminspirit","DreamInSpirit","513181","Genshin Impact","live","DROPS ON - ARCHON QUEST DAY  [VTuber] !tiktok !socials","85","2022-10-10T13:04:38Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_dreaminspirit-{width}x{height}.jpg","list(""c2542d6d-cd10-4532-919b-3d19f30a768b"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"10","10","41373663339","738319722","wahnvt","WahnVT","513181","Genshin Impact","live","【GENSHIN】Drops! MONDSTADT STORY EVENTS!【WAHN | WahnVT】","82","2022-10-10T10:00:17Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_wahnvt-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"")","TRUE"
