"","rank","id","user_id","user_login","user_name","game_id","game_name","type","title","viewer_count","started_at","language","thumbnail_url","tag_ids","is_mature"
"1","1","40329280265","127661213","callmetog","CallMeTOG","514858","League of Legends: Wild Rift","live","im stressed out !silence","133","2022-10-10T15:06:00Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_callmetog-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"2","2","46161875660","782168204","ktee140","KTee140","514858","League of Legends: Wild Rift","live","Losing Brain Cells Enjoyer","19","2022-10-10T13:21:56Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_ktee140-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"3","3","46161870140","85699403","hatakewr","HatakeWR","514858","League of Legends: Wild Rift","live","[EU] whatever you like","11","2022-10-10T13:19:51Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_hatakewr-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"4","4","39931486216","80976150","fasusasu","Fasusasu","514858","League of Legends: Wild Rift","live","[EU] Grandmaster support 130 games 63,8 % wr mental training done. Elgato working finally!! Just having fun !clip","9","2022-10-10T14:17:49Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_fasusasu-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"5","5","47282679309","152586770","jeremiahhhh_","jeremiahhhh_","514858","League of Legends: Wild Rift","live","(NA) bagel enjoyer","3","2022-10-10T15:15:07Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_jeremiahhhh_-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"6","6","46162209516","836190450","wdkatcreated","wdkatcreated","514858","League of Legends: Wild Rift","live","Ex Chall Smurfing from Plat to Gm in 3 Days KatOtp","3","2022-10-10T15:15:43Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_wdkatcreated-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"7","7","39931607192","774881140","cruicu","cruicu","514858","League of Legends: Wild Rift","live","Wild Rift | Season ends soon | Playing for fun","2","2022-10-10T14:48:38Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_cruicu-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"8","8","41374166971","623580852","diegoclyde","diegoclyde","514858","League of Legends: Wild Rift","live","LETS CLIMB TO CHALLENGER ON WILD RIFT I NEGATIVE CHAT WILL BE FORGIVEN","2","2022-10-10T15:20:39Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_diegoclyde-{width}x{height}.jpg","list(""0c7fba97-7a4e-4582-8515-f604027164db"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"9","9","40328615289","46246378","obarnabus","oBarnabus","514858","League of Legends: Wild Rift","live","gabba gool","1","2022-10-10T06:02:06Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_obarnabus-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"10","10","47282566877","674176646","bigjohn019","Bigjohn019","514858","League of Legends: Wild Rift","live","Climbing before season end","1","2022-10-10T14:29:58Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_bigjohn019-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"11","11","39755662343","150487978","mingyew0720","mingyew0720","514858","League of Legends: Wild Rift","live","CAN WE REACH MASTER BEFORE SEASON END?","1","2022-10-10T15:47:43Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_mingyew0720-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"12","12","39755554439","833524922","unknownvirus666","unknownvirus666","514858","League of Legends: Wild Rift","live","2 to 4 games not in the mood to play","1","2022-10-10T15:03:01Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_unknownvirus666-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"13","13","39931675800","86685781","giero_dhs","Giero_DHs","514858","League of Legends: Wild Rift","live","Practice jngl on smurf.","1","2022-10-10T15:03:30Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_giero_dhs-{width}x{height}.jpg","list(""8282259b-a997-4c63-b908-24027f64ac9a"", ""e1a43486-eee5-4f36-9ee6-76e72af00180"", ""8486f56b-8677-44f7-8004-000295391524"", ""dcf598ca-b5de-47d4-af33-ecabe9eaeee1"", ""340f150f-3371-4055-9350-5c559ea913ca"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"14","14","39931847384","474760644","trolofleon","trolofleon","514858","League of Legends: Wild Rift","live","🔴Welcome guys!!! I hope to enjoy livestream,pushing rank😁😁🔴","1","2022-10-10T15:42:34Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_trolofleon-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"15","15","41374102027","556152606","hislaggyness","hislaggyness","514858","League of Legends: Wild Rift","live","So low","1","2022-10-10T14:40:30Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_hislaggyness-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"16","16","39755661079","265076165","gyuuki11","Gyuuki11","514858","League of Legends: Wild Rift","live","SEA | [ADC MAIN] Master Tier Buzzer Beater","1","2022-10-10T15:47:05Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_gyuuki11-{width}x{height}.jpg","list(""e1a43486-eee5-4f36-9ee6-76e72af00180"", ""8282259b-a997-4c63-b908-24027f64ac9a"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"17","17","40329398377","516579934","silverleafe123","silverleafe123","514858","League of Legends: Wild Rift","live","Noob GM. Playing with viewers.","1","2022-10-10T15:48:11Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_silverleafe123-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""ac763b17-7bea-4632-9eb4-d106689ff409"")","FALSE"
