"","...1","id","user_id","user_login","user_name","game_id","game_name","type","title","viewer_count","started_at","language","thumbnail_url","tag_ids","is_mature"
"1","1","46163375196","39393054","scream","ScreaM","516575","VALORANT","live","helllo some duo w/beasty -  Follow my !social","7203","2022-10-10T18:55:09Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_scream-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"2","2","47283329149","420488297","frtingglitter","FrtingGlitter","516575","VALORANT","live","ANXIOUS LADY | !expressvpn !valoranttracker !blu !tottie","2974","2022-10-10T18:30:58Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_frtingglitter-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"3","3","41374651483","26202775","steel_tv","steel_tv","516575","VALORANT","live","so much fun! | !razer","1904","2022-10-10T19:38:10Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_steel_tv-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"4","4","47283658909","119015407","dashy","Dashy","516575","VALORANT","live","cmon now @dashyszn !socials","1827","2022-10-10T19:51:29Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_dashy-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"5","5","41374703083","29039515","brax","brax","516575","VALORANT","live","RANK 1 PLAYING ON ALT |  @brax1wnl","1340","2022-10-10T20:02:16Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_brax-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"6","6","41374732203","31630119","muyskerm","muyskerm","516575","VALORANT","live","I Just Want To Derank A Little","373","2022-10-10T20:15:49Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_muyskerm-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"7","7","40330835897","31351225","sarahcantaim","sarahcantaim","516575","VALORANT","live","short ranked stream prolly [25s delay]","372","2022-10-10T21:24:34Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_sarahcantaim-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"8","8","40330326681","227506541","johnqtcs","johnqtcs","516575","VALORANT","live","radiant ranked on alt for now hihi // !socials","309","2022-10-10T19:42:28Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_johnqtcs-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"9","9","40330156153","502951253","itsnatalieroush","itsnatalieroush","516575","VALORANT","live","your gamer gf is live !rank !twitter","290","2022-10-10T19:04:35Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_itsnatalieroush-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"10","10","41374883627","142728478","a_babybay","a_babybay","516575","VALORANT","live","WE BACK | FaZe babybay | SMEAGACADEMY | !SCHEDULE","284","2022-10-10T21:20:55Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_a_babybay-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"11","11","46162722684","167770949","thumblesscudi","ThumblessCudi","516575","VALORANT","live","My Mum Says I Look Radiant","179","2022-10-10T17:22:56Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_thumblesscudi-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"12","12","47283477309","110030663","aproto","aproto","516575","VALORANT","live","STREAAAAAAAAAAAAM| !YouTube !Discord !NewVid","150","2022-10-10T19:07:58Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_aproto-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"13","13","46163212140","172540588","staticmmiv","StaticMMIV","516575","VALORANT","live","filling because life has no meaning | !twitter !discord !sub @StaticMMIV","121","2022-10-10T18:30:54Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_staticmmiv-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"14","14","41374462475","132646440","geeza","geeza","516575","VALORANT","live","DEAGLE DEMON 👹 | RADIANT RANKED | 90/100 SUBS | follow my !socials !factor #sponsored","118","2022-10-10T18:04:05Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_geeza-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"15","15","41374772779","40247574","smacksmackk","SmackSmackk","516575","VALORANT","live","Immortal Brimstone ONE TRICK 🐴 !lineups - !newvid ASSASSIN BRIM","94","2022-10-10T20:33:44Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_smacksmackk-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"16","16","47283831293","31631594","brush","Brush","516575","VALORANT","live","Peak Rank 6 VIPER/CONTROLLER !yt !duo !tracker","91","2022-10-10T20:29:57Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_brush-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"17","17","47282923773","77863472","frozone","Frozone","516575","VALORANT","live","wz player plays val","86","2022-10-10T16:37:58Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_frozone-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
