"","rank","id","user_id","user_login","user_name","game_id","game_name","type","title","viewer_count","started_at","language","thumbnail_url","tag_ids","is_mature"
"1","1","39930252200","798306633","jet_officially","jet_officially","29452","Virtual Casino","live","GORDÃ0 DA BLAZE    ESCORREGA O!","31","2022-10-10T04:27:15Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_jet_officially-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""377a27f0-e3a6-4a02-99a2-8eca81163ca7"", ""eeea68da-c4b8-4268-b17a-eb0f30286843"", ""988c8c1b-b991-4b66-9a6d-b36f60363f6d"", ""a3cf86b7-90a4-409d-be29-e672c6c6e8fd"", ""8bc6daab-8c15-4eb9-b533-a6417a213a93"")","FALSE"
"2","2","39930855288","798304395","sol_offiziell","sol_offiziell","29452","Virtual Casino","live","CASINOOOOO GOD - 1000$ and a dream","1","2022-10-10T10:59:38Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_sol_offiziell-{width}x{height}.jpg","list(""8bc6daab-8c15-4eb9-b533-a6417a213a93"", ""a3cf86b7-90a4-409d-be29-e672c6c6e8fd"", ""988c8c1b-b991-4b66-9a6d-b36f60363f6d"", ""377a27f0-e3a6-4a02-99a2-8eca81163ca7"", ""eeea68da-c4b8-4268-b17a-eb0f30286843"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"3","3","39931528792","434079644","ewfw5kkm","ewfw5kkm","29452","Virtual Casino","live","BIG Bonus every day🎁","1","2022-10-10T14:28:37Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_ewfw5kkm-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"4","4","39931771928","825933040","roiboydelhi","roiboydelhi","29452","Virtual Casino","live","roiboy mega stream !","1","2022-10-10T15:25:28Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_roiboydelhi-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"5","1","39933518616","798304395","sol_offiziell","sol_offiziell","29452","Virtual Casino","live","CASINOOOOO GOD - 1000$ and a dream","7","2022-10-10T22:13:56Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_sol_offiziell-{width}x{height}.jpg","list(""8bc6daab-8c15-4eb9-b533-a6417a213a93"", ""a3cf86b7-90a4-409d-be29-e672c6c6e8fd"", ""988c8c1b-b991-4b66-9a6d-b36f60363f6d"", ""377a27f0-e3a6-4a02-99a2-8eca81163ca7"", ""eeea68da-c4b8-4268-b17a-eb0f30286843"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"6","2","39931528792","434079644","ewfw5kkm","ewfw5kkm","29452","Virtual Casino","live","BIG Bonus every day🎁","1","2022-10-10T14:28:37Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_ewfw5kkm-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"7","3","39930252200","798306633","jet_officially","jet_officially","29452","Virtual Casino","live","GORDÃ0 DA BLAZE    ESCORREGA O!","1","2022-10-10T04:27:15Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_jet_officially-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""377a27f0-e3a6-4a02-99a2-8eca81163ca7"", ""eeea68da-c4b8-4268-b17a-eb0f30286843"", ""988c8c1b-b991-4b66-9a6d-b36f60363f6d"", ""a3cf86b7-90a4-409d-be29-e672c6c6e8fd"", ""8bc6daab-8c15-4eb9-b533-a6417a213a93"")","FALSE"
"8","1","39937299960","798304395","sol_offiziell","sol_offiziell","29452","Virtual Casino","live","CASINOOOOO GOD - 1000$ and a dream","31","2022-10-11T23:59:24Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_sol_offiziell-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""377a27f0-e3a6-4a02-99a2-8eca81163ca7"", ""eeea68da-c4b8-4268-b17a-eb0f30286843"", ""988c8c1b-b991-4b66-9a6d-b36f60363f6d"", ""a3cf86b7-90a4-409d-be29-e672c6c6e8fd"", ""8bc6daab-8c15-4eb9-b533-a6417a213a93"")","FALSE"
"9","2","39931528792","434079644","ewfw5kkm","ewfw5kkm","29452","Virtual Casino","live","BIG Bonus every day🎁","1","2022-10-10T14:28:37Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_ewfw5kkm-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"10","3","39937137608","798306633","jet_officially","jet_officially","29452","Virtual Casino","live","GORDÃ0 DA BLAZE    ESCORREGA O!","1","2022-10-11T22:04:30Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_jet_officially-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""377a27f0-e3a6-4a02-99a2-8eca81163ca7"", ""eeea68da-c4b8-4268-b17a-eb0f30286843"", ""988c8c1b-b991-4b66-9a6d-b36f60363f6d"", ""a3cf86b7-90a4-409d-be29-e672c6c6e8fd"", ""8bc6daab-8c15-4eb9-b533-a6417a213a93"")","FALSE"
"11","1","39937299960","798304395","sol_offiziell","sol_offiziell","29452","Virtual Casino","live","CASINOOOOO GOD - 1000$ and a dream","50","2022-10-11T23:59:24Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_sol_offiziell-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""377a27f0-e3a6-4a02-99a2-8eca81163ca7"", ""eeea68da-c4b8-4268-b17a-eb0f30286843"", ""988c8c1b-b991-4b66-9a6d-b36f60363f6d"", ""a3cf86b7-90a4-409d-be29-e672c6c6e8fd"", ""8bc6daab-8c15-4eb9-b533-a6417a213a93"")","FALSE"
"12","2","46169320764","75963102","wolfsaviour25","WolfSaviour25","29452","Virtual Casino","live","Vibe Provider! Slots Promo! UK based Site! Gamble responsible","3","2022-10-12T14:44:41Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_wolfsaviour25-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"13","3","39938842376","434079644","ewfw5kkm","ewfw5kkm","29452","Virtual Casino","live","BIG Bonus every day🎁","1","2022-10-12T14:29:08Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_ewfw5kkm-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"14","4","39937137608","798306633","jet_officially","jet_officially","29452","Virtual Casino","live","GORDÃ0 DA BLAZE    ESCORREGA O!","1","2022-10-11T22:04:30Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_jet_officially-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""377a27f0-e3a6-4a02-99a2-8eca81163ca7"", ""eeea68da-c4b8-4268-b17a-eb0f30286843"", ""988c8c1b-b991-4b66-9a6d-b36f60363f6d"", ""a3cf86b7-90a4-409d-be29-e672c6c6e8fd"", ""8bc6daab-8c15-4eb9-b533-a6417a213a93"")","FALSE"
"15","1","39937299960","798304395","sol_offiziell","sol_offiziell","29452","Virtual Casino","live","CASINOOOOO GOD - 1000$ and a dream","43","2022-10-11T23:59:24Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_sol_offiziell-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""377a27f0-e3a6-4a02-99a2-8eca81163ca7"", ""eeea68da-c4b8-4268-b17a-eb0f30286843"", ""988c8c1b-b991-4b66-9a6d-b36f60363f6d"", ""a3cf86b7-90a4-409d-be29-e672c6c6e8fd"", ""8bc6daab-8c15-4eb9-b533-a6417a213a93"")","FALSE"
